LOT ID :,
RECEIPE :,"Manual,คโ??ฐe"
STARTTIME :,2018-02-28 02:09:27
ENDTIME :,2018-02-28 02:09:34
COUNT :,3
Port-A,8(S),START,END,Port-B,,,,Port-C,6(L),START,END
25,"","","",25,"","","",25,"","",""
24,"","","",24,"","","",24,"","",""
23,"","","",23,"","","",23,"","",""
22,"","","",22,"","","",22,"","",""
21,"","","",21,"","","",21,"","",""
20,"","","",20,"","","",20,"","",""
19,"WAFER EXIST","2018-02-28 02:08:35","2018-02-28 02:08:35",19,"","","",19,"","",""
18,"","","",18,"","","",18,"","",""
17,"WAFER EXIST","2018-02-28 02:08:35","2018-02-28 02:08:35",17,"","","",17,"","",""
16,"","","",16,"","","",16,"","",""
15,"WAFER EXIST","2018-02-28 02:08:35","2018-02-28 02:08:35",15,"","","",15,"","",""
14,"","","",14,"","","",14,"","",""
13,"WAFER EXIST","2018-02-28 02:08:35","2018-02-28 02:08:35",13,"","","",13,"","",""
12,"","","",12,"","","",12,"","",""
11,"WAFER EXIST","2018-02-28 02:08:35","2018-02-28 02:08:35",11,"","","",11,"","",""
10,"","","",10,"","","",10,"","",""
09,"WAFER EXIST","2018-02-28 02:08:35","2018-02-28 02:08:35",09,"","","",09,"","",""
08,"","","",08,"","","",08,"","",""
07,"WAFER EXIST","2018-02-28 02:08:35","2018-02-28 02:08:35",07,"","","",07,"","",""
06,"","","",06,"","","",06,"","",""
05,"WAFER EXIST","2018-02-28 02:08:35","2018-02-28 02:08:35",05,"","","",05,"WAFER EXIST","2018-02-28 02:09:32","2018-02-28 02:09:33"
04,"","","",04,"","","",04,"WAFER EXIST","2018-02-28 02:09:29","2018-02-28 02:09:31"
03,"WAFER EXIST","2018-02-28 02:08:35","2018-02-28 02:08:35",03,"","","",03,"WAFER EXIST","2018-02-28 02:09:27","2018-02-28 02:09:29"
02,"","","",02,"","","",02,"WAFER EXIST","2018-02-28 02:08:45","2018-02-28 02:08:45"
01,"WAFER EXIST","2018-02-28 02:08:35","2018-02-28 02:08:35",01,"","","",01,"WAFER EXIST","2018-02-28 02:08:45","2018-02-28 02:08:45"
