LOT ID :,K12Y077.1
RECEIPE :,"AB,ÒÀSLOT½â°ü×°¡ý"
STARTTIME :,2018-07-02 00:47:54
ENDTIME :,2018-07-02 00:53:48
COUNT :,2
Port-A,8(S),START,END,Port-B,8(S),START,END,Port-C,8(L),START,END
25,"WAFER EXIST","2018-07-02 00:48:16","2018-07-02 00:48:35",25,"","","",25,"","",""
24,"","","",24,"","","",24,"","",""
23,"WAFER EXIST","2018-07-02 00:48:37","2018-07-02 00:48:55",23,"","","",23,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
22,"","","",22,"","","",22,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
21,"","","",21,"","","",21,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
20,"","","",20,"","","",20,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
19,"","","",19,"","","",19,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
18,"","","",18,"","","",18,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
17,"","","",17,"","","",17,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
16,"","","",16,"","","",16,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
15,"","","",15,"","","",15,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
14,"","","",14,"","","",14,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
13,"","","",13,"","","",13,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
12,"","","",12,"","","",12,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
11,"","","",11,"","","",11,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
10,"","","",10,"","","",10,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
09,"","","",09,"","","",09,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
08,"","","",08,"","","",08,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
07,"","","",07,"","","",07,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
06,"","","",06,"","","",06,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
05,"","","",05,"","","",05,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
04,"","","",04,"","","",04,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
03,"","","",03,"","","",03,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
02,"","","",02,"","","",02,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
01,"","","",01,"","","",01,"WAFER EXIST","2018-07-02 00:47:00","2018-07-02 00:47:00"
